model,technique,labelGroup,label,total
gemma2,prompted,existing,<none>,224
gemma2,prompted,existing,Senior careers,115
gemma2,prompted,existing,"Articles, videos & educational resources",100
gemma2,prompted,existing,UX Strategy & Management,220
gemma2,prompted,existing,UX Writing,15
gemma2,prompted,existing,Tools & apps,182
gemma2,prompted,existing,UI Design,136
gemma2,prompted,existing,UX Research,56
gemma2,prompted,existing,UX Design,606
gemma2,prompted,existing,Junior careers,313
gemma2,prompted,proposed,<none>,224
gemma2,prompted,proposed,Senior careers,115
gemma2,prompted,proposed,"Articles, videos & educational resources",100
gemma2,prompted,proposed,UX Strategy & Management,220
gemma2,prompted,proposed,UX Writing,15
gemma2,prompted,proposed,Tools & apps,182
gemma2,prompted,proposed,UI Design,136
gemma2,prompted,proposed,UX Research,56
gemma2,prompted,proposed,UX Design,606
gemma2,prompted,proposed,Junior careers,313
gemma2-mini,prompted,existing,<none>,83
gemma2-mini,prompted,existing,Senior careers,96
gemma2-mini,prompted,existing,UX Strategy & Management,27
gemma2-mini,prompted,existing,UX Writing,3
gemma2-mini,prompted,existing,Tools & apps,20
gemma2-mini,prompted,existing,UI Design,9
gemma2-mini,prompted,existing,UX Research,1196
gemma2-mini,prompted,existing,UX Design,484
gemma2-mini,prompted,existing,Junior careers,49
gemma2-mini,prompted,proposed,<none>,83
gemma2-mini,prompted,proposed,Senior careers,96
gemma2-mini,prompted,proposed,UX Strategy & Management,27
gemma2-mini,prompted,proposed,UX Writing,3
gemma2-mini,prompted,proposed,Tools & apps,20
gemma2-mini,prompted,proposed,UI Design,9
gemma2-mini,prompted,proposed,UX Research,1196
gemma2-mini,prompted,proposed,UX Design,484
gemma2-mini,prompted,proposed,Junior careers,49
google-text,kmeans,clustered,cluster-0,182
google-text,kmeans,clustered,cluster-1,134
google-text,kmeans,clustered,cluster-2,150
google-text,kmeans,clustered,cluster-3,206
google-text,kmeans,clustered,cluster-4,248
google-text,kmeans,clustered,cluster-5,215
google-text,kmeans,clustered,cluster-6,195
google-text,kmeans,clustered,cluster-7,212
google-text,kmeans,clustered,cluster-8,247
google-text,kmeans,clustered,cluster-9,208
google-text,proximity,existing,Senior careers,345
google-text,proximity,existing,"Articles, videos & educational resources",29
google-text,proximity,existing,UX Strategy & Management,114
google-text,proximity,existing,UX Writing,86
google-text,proximity,existing,Tools & apps,129
google-text,proximity,existing,UI Design,282
google-text,proximity,existing,UX Research,107
google-text,proximity,existing,UX Design,581
google-text,proximity,existing,Junior careers,294
google-text,proximity,proposed,"Articles, videos & educational resources",21
google-text,proximity,proposed,How to do UI Design,298
google-text,proximity,proposed,Examples and inspiration,138
google-text,proximity,proposed,How to do Strategy & Research,113
google-text,proximity,proposed,How to do IA & Content,36
google-text,proximity,proposed,Working with other people and career growth,315
google-text,proximity,proposed,Portfolio and resume discussion,102
google-text,proximity,proposed,Feedback request,287
google-text,proximity,proposed,"Tools, Apps, Fonts, Plugins, AI",98
google-text,proximity,proposed,How to Freelance,31
google-text,proximity,proposed,Job search & hiring,528
gpt-4o,prompted,existing,<none>,256
gpt-4o,prompted,existing,Senior careers,239
gpt-4o,prompted,existing,"Articles, videos & educational resources",111
gpt-4o,prompted,existing,UX Strategy & Management,150
gpt-4o,prompted,existing,UX Writing,12
gpt-4o,prompted,existing,Tools & apps,176
gpt-4o,prompted,existing,UI Design,125
gpt-4o,prompted,existing,UX Research,93
gpt-4o,prompted,existing,UX Design,618
gpt-4o,prompted,existing,Junior careers,187
gpt-4o,prompted,proposed,<none>,256
gpt-4o,prompted,proposed,Senior careers,239
gpt-4o,prompted,proposed,"Articles, videos & educational resources",111
gpt-4o,prompted,proposed,UX Strategy & Management,150
gpt-4o,prompted,proposed,UX Writing,12
gpt-4o,prompted,proposed,Tools & apps,176
gpt-4o,prompted,proposed,UI Design,125
gpt-4o,prompted,proposed,UX Research,93
gpt-4o,prompted,proposed,UX Design,618
gpt-4o,prompted,proposed,Junior careers,187
gpt-4o-mini,prompted,existing,<none>,492
gpt-4o-mini,prompted,existing,Senior careers,372
gpt-4o-mini,prompted,existing,"Articles, videos & educational resources",76
gpt-4o-mini,prompted,existing,UX Strategy & Management,230
gpt-4o-mini,prompted,existing,UX Writing,16
gpt-4o-mini,prompted,existing,Tools & apps,173
gpt-4o-mini,prompted,existing,UI Design,102
gpt-4o-mini,prompted,existing,UX Research,103
gpt-4o-mini,prompted,existing,UX Design,299
gpt-4o-mini,prompted,existing,Junior careers,104
gpt-4o-mini,prompted,proposed,<none>,492
gpt-4o-mini,prompted,proposed,Senior careers,372
gpt-4o-mini,prompted,proposed,"Articles, videos & educational resources",76
gpt-4o-mini,prompted,proposed,UX Strategy & Management,230
gpt-4o-mini,prompted,proposed,UX Writing,16
gpt-4o-mini,prompted,proposed,Tools & apps,173
gpt-4o-mini,prompted,proposed,UI Design,102
gpt-4o-mini,prompted,proposed,UX Research,103
gpt-4o-mini,prompted,proposed,UX Design,299
gpt-4o-mini,prompted,proposed,Junior careers,104
hermes3-mini,kmeans,clustered,cluster-0,313
hermes3-mini,kmeans,clustered,cluster-1,136
hermes3-mini,kmeans,clustered,cluster-2,197
hermes3-mini,kmeans,clustered,cluster-3,192
hermes3-mini,kmeans,clustered,cluster-4,364
hermes3-mini,kmeans,clustered,cluster-5,117
hermes3-mini,kmeans,clustered,cluster-6,73
hermes3-mini,kmeans,clustered,cluster-7,97
hermes3-mini,kmeans,clustered,cluster-8,368
hermes3-mini,kmeans,clustered,cluster-9,140
hermes3-mini,prompted,existing,<none>,461
hermes3-mini,prompted,existing,Senior careers,152
hermes3-mini,prompted,existing,"Articles, videos & educational resources",8
hermes3-mini,prompted,existing,UX Strategy & Management,4
hermes3-mini,prompted,existing,UX Writing,14
hermes3-mini,prompted,existing,Tools & apps,115
hermes3-mini,prompted,existing,UI Design,91
hermes3-mini,prompted,existing,UX Research,491
hermes3-mini,prompted,existing,UX Design,610
hermes3-mini,prompted,existing,Junior careers,21
hermes3-mini,prompted,proposed,<none>,461
hermes3-mini,prompted,proposed,Senior careers,152
hermes3-mini,prompted,proposed,"Articles, videos & educational resources",8
hermes3-mini,prompted,proposed,UX Strategy & Management,4
hermes3-mini,prompted,proposed,UX Writing,14
hermes3-mini,prompted,proposed,Tools & apps,115
hermes3-mini,prompted,proposed,UI Design,91
hermes3-mini,prompted,proposed,UX Research,491
