technique,model,matched,differed,failed,hallucinated,duration
prompted,gemma2-mini,305,1419,57,18,550.3833345195535
prompted,gemma2,599,988,199,13,1354.3808540925559
prompted,gpt-4o-mini,691,650,458,0,790.477124555179
prompted,gpt-4o,745,818,222,14,2217.938352313096
prompted,hermes3-mini,445,928,411,15,978.3605871886351
proximity,hermes3-mini,191,1608,0,0,424
prompted,llama31-mini,598,1075,113,13,942.2872989323971
proximity,llama31-mini,287,1512,0,0,288
prompted,llama31,753,986,58,2,7877.0225622775015
proximity,llama31,232,1567,0,0,892
prompted,llama32-micro,434,1337,26,2,448.40555160143174
proximity,llama32-micro,162,1637,0,0,185
prompted,llama32-nano,0,0,1793,6,149.78435587189003
proximity,llama32-nano,248,1551,0,0,149
prompted,phi35,103,550,72,1074,2610.65081494658
proximity,phi35,57,1742,0,0,211
prompted,qwen25-mini,3,14,1778,4,120.8979217081867
proximity,qwen25-mini,205,1594,0,0,92
prompted,qwen25,78,1250,465,6,259.6166441281065
proximity,qwen25,219,1580,0,0,103
proximity,google-text,659,1140,0,0,79
proximity,mxbai-query,586,1213,0,0,76
proximity,mxbai,419,1380,0,0,68
proximity,nomic-classify,448,1351,0,0,56
proximity,nomic-cluster,490,1309,0,0,55
proximity,nomic-doc,385,1414,0,0,52
proximity,nomic-query,450,1349,0,0,56
proximity,oai-text-large,518,1281,0,0,316
proximity,oai-text-mini,615,1184,0,0,103
proximity,paraphrase,481,1318,0,0,50
proximity,smollm-mini,167,1632,0,0,39
proximity,snowflake-mini,480,1319,0,0,43
proximity,snowflake,488,1311,0,0,79
